cloud,profile,weighting,sigma_bin_left_g_cm2,sigma_bin_right_g_cm2,sigma_bin_center_g_cm2,probability_density_per_ln_sigma,probability_density_normalized_to_peak,common_pixel_count,profile_censored_pixel_count,shared_display_minimum_g_cm2
F,moderate,mass,0.5623413251903491,0.6493816315762113,0.6042963902381329,0.0,0.0,72424,268,0.01
F,moderate,mass,0.6493816315762113,0.7498942093324559,0.6978305848598664,0.0,0.0,72424,268,0.01
F,moderate,mass,0.7498942093324559,0.8659643233600653,0.8058421877614819,0.0,0.0,72424,268,0.01
F,moderate,mass,0.8659643233600653,1.0,0.930572040929699,0.0,0.0,72424,268,0.01
F,liberal,mass,0.01,0.011547819846894581,0.010746078283213174,0.0048534683965414036,0.006652019745708091,72424,833,0.01
F,liberal,mass,0.011547819846894581,0.01333521432163324,0.012409377607517195,0.014264638639835021,0.01955069038158178,72424,833,0.01
F,liberal,mass,0.01333521432163324,0.01539926526059492,0.014330125702369627,0.01943729575303619,0.02664018070963486,72424,833,0.01
F,liberal,mass,0.01539926526059492,0.01778279410038923,0.016548170999431816,0.027761425888533472,0.03804898643434714,72424,833,0.01
F,liberal,mass,0.01778279410038923,0.02053525026457146,0.019109529749704406,0.036872299100200304,0.0505360788707249,72424,833,0.01
F,liberal,mass,0.02053525026457146,0.023713737056616554,0.0220673406908459,0.04820990041146051,0.06607505875678163,72424,833,0.01
F,liberal,mass,0.023713737056616554,0.027384196342643614,0.025482967479793464,0.06208509964066315,0.08509199503972138,72424,833,0.01
F,liberal,mass,0.027384196342643614,0.03162277660168379,0.029427271762092817,0.0805686035689171,0.11042493698042398,72424,833,0.01
F,liberal,mass,0.03162277660168379,0.03651741272548377,0.03398208328942559,0.10919440527018291,0.14965861125122748,72424,833,0.01
F,liberal,mass,0.03651741272548377,0.042169650342858224,0.03924189758484536,0.13395203051068844,0.18359067766254708,72424,833,0.01
